date,home_team,home_score,away_score,away_team
08-10-2022,Getafe,0,0,Real Madrid
14-10-2022,Vallecano,0,0,Getafe
18-10-2022,Getafe,2,2,Ath Bilbao
24-10-2022,Celta,1,1,Getafe
31-10-2022,Elche,0,0,Getafe
05-11-2022,Getafe,0,0,Cadiz
09-11-2022,Almeria,1,1,Getafe
30-12-2022,Getafe,?,?,Mallorca
14-08-2022,Valencia,1,1,Girona
22-08-2022,Girona,3,3,Getafe
26-08-2022,Girona,0,0,Celta
03-09-2022,Mallorca,1,1,Girona
09-09-2022,Girona,2,2,Valladolid
18-09-2022,Betis,2,2,Girona
02-10-2022,Girona,3,3,Sociedad
08-10-2022,Ath Madrid,2,2,Girona
15-10-2022,Girona,1,1,Cadiz
20-10-2022,Almeria,3,3,Girona
23-10-2022,Girona,1,1,Osasuna
30-10-2022,Real Madrid,1,1,Girona
04-11-2022,Girona,2,2,Ath Bilbao
08-11-2022,Elche,1,1,Girona
29-12-2022,Girona,?,?,Vallecano
15-08-2022,Ath Bilbao,0,0,Mallorca
20-08-2022,Mallorca,1,1,Betis
27-08-2022,Vallecano,0,0,Mallorca
03-09-2022,Mallorca,1,1,Girona
11-09-2022,Real Madrid,4,4,Mallorca
17-09-2022,Mallorca,1,1,Almeria
01-10-2022,Mallorca,0,0,Barcelona
10-10-2022,Elche,1,1,Mallorca
15-10-2022,Mallorca,0,0,Sevilla
19-10-2022,Sociedad,1,1,Mallorca
22-10-2022,Valencia,1,1,Mallorca
28-10-2022,Mallorca,1,1,Espanol
06-11-2022,Villarreal,0,0,Mallorca
09-11-2022,Mallorca,1,1,Ath Madrid
30-12-2022,Getafe,?,?,Mallorca
12-08-2022,Osasuna,2,2,Sevilla
20-08-2022,Osasuna,2,2,Cadiz
26-08-2022,Betis,1,1,Osasuna
04-09-2022,Osasuna,2,2,Vallecano
12-09-2022,Almeria,0,0,Osasuna
18-09-2022,Osasuna,0,0,Getafe
02-10-2022,Real Madrid,1,1,Osasuna
07-10-2022,Osasuna,1,1,Valencia
17-10-2022,Villarreal,2,2,Osasuna
20-10-2022,Osasuna,1,1,Espanol
23-10-2022,Girona,1,1,Osasuna
30-10-2022,Osasuna,2,2,Valladolid
05-11-2022,Celta,1,1,Osasuna
08-11-2022,Osasuna,1,1,Barcelona
31-12-2022,Sociedad,?,?,Osasuna
14-08-2022,Almeria,1,1,Real Madrid
20-08-2022,Celta,1,1,Real Madrid
28-08-2022,Espanol,1,1,Real Madrid
03-09-2022,Real Madrid,2,2,Betis
11-09-2022,Real Madrid,4,4,Mallorca
18-09-2022,Ath Madrid,1,1,Real Madrid
02-10-2022,Real Madrid,1,1,Osasuna
08-10-2022,Getafe,0,0,Real Madrid
16-10-2022,Real Madrid,3,3,Barcelona
19-10-2022,Elche,0,0,Real Madrid
22-10-2022,Real Madrid,3,3,Sevilla
30-10-2022,Real Madrid,1,1,Girona
07-11-2022,Vallecano,3,3,Real Madrid
10-11-2022,Real Madrid,2,2,Cadiz
30-12-2022,Valladolid,?,?,Real Madrid
12-08-2022,Osasuna,2,2,Sevilla
19-08-2022,Sevilla,1,1,Valladolid
27-08-2022,Almeria,2,2,Sevilla
03-09-2022,Sevilla,0,0,Barcelona
10-09-2022,Espanol,2,2,Sevilla
18-09-2022,Villarreal,1,1,Sevilla
01-10-2022,Sevilla,0,0,Ath Madrid
08-10-2022,Sevilla,1,1,Ath Bilbao
15-10-2022,Mallorca,0,0,Sevilla
18-10-2022,Sevilla,1,1,Valencia
22-10-2022,Real Madrid,3,3,Sevilla
29-10-2022,Sevilla,0,0,Vallecano
06-11-2022,Betis,1,1,Sevilla
